doy,tree,grass,weed,mold
1,0,0,0,3
2,0,0,0,3
3,0,0,0,4
4,0,0,0,4
5,0,0,0,4
6,0,0,0,4
7,0,0,0,4
8,1,0,0,4
9,1,0,0,4
10,1,0,0,4
11,1,0,0,5
12,1,0,0,5
13,1,0,0,5
14,1,0,0,5
15,1,0,0,5
16,1,0,0,5
17,1,0,0,5
18,1,0,0,6
19,2,0,0,6
20,2,0,0,6
21,2,0,0,6
22,2,0,0,6
23,2,0,0,7
24,3,0,0,7
25,3,0,0,7
26,3,0,0,7
27,3,0,0,7
28,4,0,0,8
29,4,0,0,8
30,4,0,0,8
31,5,0,0,8
32,5,0,0,8
33,6,0,0,9
34,6,0,0,9
35,7,0,0,9
36,7,0,0,9
37,8,0,0,10
38,8,0,0,10
39,9,0,0,10
40,10,0,0,10
41,10,0,0,11
42,11,0,0,11
43,12,0,0,11
44,13,0,0,12
45,14,0,0,12
46,14,0,0,12
47,15,0,0,13
48,16,0,0,13
49,18,0,0,13
50,19,0,0,14
51,20,0,0,14
52,21,1,0,14
53,22,1,0,15
54,24,1,0,15
55,25,1,0,15
56,26,1,0,16
57,28,1,0,16
58,29,1,0,16
59,31,1,0,17
60,32,1,0,17
61,34,1,0,18
62,36,1,0,18
63,38,1,0,18
64,39,2,0,19
65,41,2,0,19
66,43,2,0,20
67,45,2,0,20
68,47,2,0,21
69,49,2,0,21
70,51,3,0,22
71,53,3,0,22
72,55,3,0,23
73,57,3,0,23
74,59,3,0,24
75,61,4,0,24
76,63,4,0,25
77,65,4,0,25
78,67,5,0,26
79,69,5,0,26
80,71,5,0,27
81,73,6,0,27
82,75,6,0,28
83,76,6,0,28
84,78,7,0,29
85,80,7,0,30
86,82,8,0,30
87,84,8,0,31
88,85,9,0,31
89,87,9,0,32
90,88,10,0,32
91,90,11,0,33
92,91,11,0,34
93,92,12,0,34
94,93,13,0,35
95,95,14,0,36
96,96,14,0,36
97,97,15,0,37
98,97,16,0,38
99,98,17,0,38
100,99,18,0,39
101,99,19,0,40
102,100,20,0,40
103,100,21,0,41
104,100,22,0,42
105,100,23,0,42
106,100,24,0,43
107,100,25,0,44
108,100,27,0,44
109,99,28,0,45
110,99,29,0,46
111,98,30,0,47
112,97,32,0,47
113,97,33,0,48
114,96,35,0,49
115,95,36,0,49
116,93,38,0,50
117,92,39,0,51
118,91,41,0,52
119,90,42,0,52
120,88,44,0,53
121,87,45,0,54
122,85,47,0,55
123,84,49,0,55
124,82,50,0,56
125,80,52,0,57
126,78,54,0,58
127,76,55,0,58
128,75,57,0,59
129,73,59,0,60
130,71,61,0,61
131,69,62,0,61
132,67,64,0,62
133,65,66,0,63
134,63,68,0,64
135,61,69,0,64
136,59,71,0,65
137,57,73,0,66
138,55,74,0,67
139,53,76,0,67
140,51,77,0,68
141,49,79,0,69
142,47,81,0,70
143,45,82,0,70
144,43,84,0,71
145,41,85,0,72
146,39,86,0,73
147,38,88,0,73
148,36,89,0,74
149,34,90,0,75
150,32,91,0,75
151,31,92,0,76
152,29,93,0,77
153,28,94,0,78
154,26,95,0,78
155,25,96,0,79
156,24,97,0,80
157,22,97,0,80
158,21,98,1,81
159,20,99,1,82
160,19,99,1,82
161,18,99,1,83
162,16,100,1,84
163,15,100,1,84
164,14,100,1,85
165,14,100,1,85
166,13,100,1,86
167,12,100,1,87
168,11,100,1,87
169,10,99,2,88
170,10,99,2,88
171,9,99,2,89
172,8,98,2,89
173,8,97,2,90
174,7,97,3,90
175,7,96,3,91
176,6,95,3,91
177,6,94,3,92
178,5,93,4,92
179,5,92,4,93
180,4,91,4,93
181,4,90,5,94
182,4,89,5,94
183,3,88,6,94
184,3,86,6,95
185,3,85,7,95
186,3,84,7,96
187,2,82,8,96
188,2,81,8,96
189,2,79,9,97
190,2,77,10,97
191,2,76,10,97
192,1,74,11,98
193,1,73,12,98
194,1,71,13,98
195,1,69,14,98
196,1,68,14,98
197,1,66,15,99
198,1,64,16,99
199,1,62,18,99
200,1,61,19,99
201,1,59,20,99
202,1,57,21,100
203,0,55,22,100
204,0,54,24,100
205,0,52,25,100
206,0,50,26,100
207,0,49,28,100
208,0,47,29,100
209,0,45,31,100
210,0,44,32,100
211,0,42,34,100
212,0,41,36,100
213,0,39,38,100
214,0,38,39,100
215,0,36,41,100
216,0,35,43,100
217,0,33,45,100
218,0,32,47,100
219,0,30,49,99
220,0,29,51,99
221,0,28,53,99
222,0,27,55,99
223,0,25,57,99
224,0,24,59,98
225,0,23,61,98
226,0,22,63,98
227,0,21,65,98
228,0,20,67,98
229,0,19,69,97
230,0,18,71,97
231,0,17,73,97
